공원,달동산,서울특별시 중랑구 망우3 520-6,37.59217,127.0952,985,02-2094-2364,어린이공원
공원,햇  님,서울특별시 중랑구 망우3 474-11,37.59357,127.0953,593,02-2094-2364,어린이공원
공원,꽃동산,서울특별시 중랑구 망우3 441,37.59121,127.0991,1004,02-2094-2364,어린이공원
공원,샛  별,서울특별시 중랑구 망우3 416-1,37.59336,127.1008,950,02-2094-2364,어린이공원
공원,황학공원,서울특별시 중구 황학동 755,37.5674949,127.018139,1087,02-3396-5855,어린이공원
공원,무교2공원,서울특별시 중구 태평로1가 2-2,37.569004,126.977595,1245,02-3396-5855,소공원
공원,묵정공원,서울특별시 중구 충무로5가 21,37.563799,126.999785,3907,02-3396-5855,어린이공원
공원,청구공원,서울특별시 중구 청구동 842-1,37.555579,127.0138,1656,02-3396-5855,어린이공원
공원,배재공원,서울특별시 중구 정동 34-31,37.564224,126.972182,2877,02-3396-5855,어린이공원
공원,진달래공원,서울특별시 중구 정동 1-73,37.568003,126.974807,713,02-3396-5855,소공원
공원,정동공원,서울특별시 중구 정동 15-1,37.567671,126.971649,8230,02-3396-5852,근린공원
공원,저동공원,서울특별시 중구 저동1가 1-14,37.564736,126.98818,1050,02-3396-5855,어린이공원
공원,명동문화공원,서울특별시 중구 저동 90-10,37.564745,126.986445,1456,02-3396-5852,문화공원
공원,서소문공원,서울특별시 중구 의주로2가 16-2,37.560712,126.969321,21363,02-3396-5852,역사공원
공원,의주로공원,서울특별시 중구 의주로1가 44-2,37.564064,126.968591,1039,02-3396-5855,소공원
공원,훈련원공원,서울특별시 중구 을지로5가 40-3,37.568008,126.971502,16735,02-3396-5852,근린공원
공원,저동2공원,서울특별시 중구 을지로2가 203-4,37.565266,126.988834,200,02-3396-5855,소공원
공원,저동1공원,서울특별시 중구 을지로2가 203-1,37.565975,126.989627,210,02-3396-5855,소공원
공원,쌍림동공원,서울특별시 중구 쌍림동 292-2,37.563911,127.002671,169,02-3396-5855,소공원
공원,응봉공원,서울특별시 중구 신당동 산36,37.548628,127.01025,107695,02-3396-5863,근린공원
공원,동화공원,서울특별시 중구 신당동 852-4,37.560464,127.020459,3071,02-3396-5855,어린이공원
공원,꿈누리공원,서울특별시 중구 신당동 851-9,37.560344,127.018116,2569,02-3396-5855,어린이공원
공원,무학봉공원,서울특별시 중구 신당5동 산12-63,37.562661,127.024454,12584,02-3396-5852,근린공원
공원,다산공원,서울특별시 중구 신당5동 123-1,37.564103,127.018843,3679,02-3396-5855,어린이공원
공원,순화어린이공원,서울특별시 중구 순화동 3-12,37.563458,126.971326,1439,02-3396-5855,어린이공원
공원,순화문화공원,서울특별시 중구 순화동 216-2,37.559824,126.971601,2103,02-3396-5852,문화공원
공원,한빛미디어파크,서울특별시 중구 삼각동 118,37.568073,126.985152,2071,02-3396-5852,역사공원
